Time,PV,MV
183.26,107.8032692,41.39298328
183.73,107.8031015,41.39298121
184.17,107.8041319,41.39300133
184.67,107.8039562,41.39299669
185.11,107.8037821,41.39299257
185.59,107.8036095,41.39298896
186.08,107.8034386,41.39298586
186.54,107.8032692,41.39298328
186.98,107.8031015,41.39298121
187.47,107.8032692,41.39298328
187.95,107.8031015,41.39298121
188.42,107.8041319,41.39300133
188.86,107.8039562,41.39299669
189.34,107.8037821,41.39299257
189.82,107.8036095,41.39298896
190.29,107.8034386,41.39298586
190.73,107.8032692,41.39298328
191.21,107.8031015,41.39298121
191.7,107.8032692,41.39298328
192.17,107.8031015,41.39298121
192.61,107.8050345,41.39303236
193.09,107.8048508,41.39302511
193.56,107.8046686,41.39301838
194.03,107.8044881,41.39301218
194.51,107.8043092,41.39300649
194.96,107.8041319,41.39300133
195.45,107.8039562,41.39299669
195.89,107.8037821,41.39299257
196.35,107.8036095,41.39298896
196.84,107.8034386,41.39298586
197.32,107.8032692,41.39298328
197.78,107.8031015,41.39298121
198.26,107.8032692,41.39298328
198.7,107.8031015,41.39298121
199.17,107.8041319,41.39300133
199.65,107.8039562,41.39299669
200.13,107.8037821,41.39299257
200.6,107.8036095,41.39298896
201.04,107.8034386,41.39298586
201.52,107.8032692,41.39298328
202.01,107.8031015,41.39298121
202.48,107.8032692,41.39298328
202.95,107.8031015,41.39298121
203.41,107.8041319,41.39300133
203.85,107.8039562,41.39299669
204.34,107.8037821,41.39299257
204.82,107.8036095,41.39298896
205.29,107.8034386,41.39298586
205.73,107.8032692,41.39298328
206.21,107.8031015,41.39298121
206.7,107.8032692,41.39298328
207.16,107.8031015,41.39298121
207.6,107.8041319,41.39300133
208.09,107.8039562,41.39299669
208.55,107.8037821,41.39299257
209.02,107.8036095,41.39298896
209.51,107.8034386,41.39298586
209.98,107.8032692,41.39298328
210.43,107.8031015,41.39298121
210.9,107.8032692,41.39298328
211.38,107.8031015,41.39298121
211.85,107.8050345,41.39303236
212.29,107.8048508,41.39302511
212.77,107.8046686,41.39301838
213.26,107.8044881,41.39301218
213.72,107.8043092,41.39300649
214.16,107.8041319,41.39300133
214.65,107.8039562,41.39299669
215.13,107.8037821,41.39299257
215.6,107.8036095,41.39298896
216.04,107.8034386,41.39298586
216.52,107.8032692,41.39298328
217.01,107.8031015,41.39298121
217.47,107.8032692,41.39298328
217.91,107.8031015,41.39298121
218.4,107.8041319,41.39300133
218.88,107.8039562,41.39299669
219.32,107.8037821,41.39299257
219.82,107.8036095,41.39298896
220.29,107.8034386,41.39298586
220.72,107.8032692,41.39298328
221.21,107.8031015,41.39298121
221.69,107.8032692,41.39298328
222.16,107.8031015,41.39298121
222.6,107.8041319,41.39300133
223.08,107.8039562,41.39299669
223.55,107.8037821,41.39299257
224.03,107.8036095,41.39298896
224.47,107.8034386,41.39298586
224.96,107.8032692,41.39298328
225.44,107.8031015,41.39298121
225.91,107.8032692,41.39298328
226.36,107.8031015,41.39298121
226.83,107.8041319,41.39300133
227.32,107.8039562,41.39299669
227.78,107.8037821,41.39299257
228.22,107.8036095,41.39298896
228.7,107.8034386,41.39298586
229.19,107.8032692,41.39298328
229.66,107.8031015,41.39298121
230.1,107.8032692,41.39298328
230.58,107.8031015,41.39298121
231.06,107.8050345,41.39303236
231.53,107.8048508,41.39302511
231.97,107.8046686,41.39301838
232.45,107.8044881,41.39301218
232.94,107.8043092,41.39300649
233.41,107.8041319,41.39300133
233.84,107.8039562,41.39299669
234.33,107.8037821,41.39299257
234.81,107.8036095,41.39298896
235.28,107.8034386,41.39298586
235.72,107.8032692,41.39298328
236.19,107.8031015,41.39298121
236.67,107.8032692,41.39298328
237.13,107.8031015,41.39298121
237.61,107.8041319,41.39300133
238.08,107.8039562,41.39299669
238.56,107.8037821,41.39299257
239,107.8036095,41.39298896
239.48,107.8034386,41.39298586
239.95,107.8032692,41.39298328
240.41,107.8031015,41.39298121
240.87,107.8032692,41.39298328
241.36,107.8031015,41.39298121
241.83,107.8041319,41.39300133
242.31,107.8039562,41.39299669
242.75,107.8037821,41.39299257
243.23,107.8036095,41.39298896
243.7,107.8034386,41.39298586
244.19,107.8032692,41.39298328
244.62,107.8031015,41.39298121
245.11,107.8032692,41.39298328
245.58,107.8031015,41.39298121
246.06,107.8041319,41.39300133
246.5,107.8039562,41.39299669
246.98,107.8037821,41.39299257
247.45,107.8036095,41.39298896
247.92,107.8034386,41.39298586
248.39,107.8032692,41.39298328
248.87,107.8031015,41.39298121
249.31,107.8032692,41.39298328
249.79,107.8031015,41.39298121
250.26,107.8050345,41.39303236
250.75,107.8048508,41.39302511
251.18,107.8046686,41.39301838
251.67,107.8044881,41.39301218
252.14,107.8043092,41.39300649
252.62,107.8041319,41.39300133
253.06,107.8039562,41.39299669
253.54,107.8037821,41.39299257
254.01,107.8036095,41.39298896
254.5,107.8034386,41.39298586
254.93,107.8032692,41.39298328
255.4,107.8031015,41.39298121
255.87,107.8032692,41.39298328
256.35,107.8031015,41.39298121
256.82,107.8041319,41.39300133
257.31,107.8039562,41.39299669
257.74,107.8037821,41.39299257
258.23,107.8036095,41.39298896
258.7,107.8034386,41.39298586
259.18,107.8032692,41.39298328
259.62,107.8031015,41.39298121
260.1,107.8032692,41.39298328
260.57,107.8031015,41.39298121
261.06,107.8041319,41.39300133
261.49,107.8039562,41.39299669
261.98,107.8037821,41.39299257
262.45,107.8036095,41.39298896
262.93,107.8034386,41.39298586
263.37,107.8032692,41.39298328
263.85,107.8031015,41.39298121
264.32,107.8032692,41.39298328
264.81,107.8031015,41.39298121
265.24,107.8041319,41.39300133
265.73,107.8039562,41.39299669
266.2,107.8037821,41.39299257
266.68,107.8036095,41.39298896
267.12,107.8034386,41.39298586
